lab_method_name,lab_type,lab_csv_header,r-Modus_Soil_Test_v1,r-Modus_Soil_Test_v2,r-Analyte,f-Analyte,r-Extraction_Method,f-Extraction_Method,r-Measurement_Method,f-Measurement_Method,r-Unit_of_Measurement,f-Unit_of_Measurement_Default,r-Unit_of_Measurement_Alt,f-Unit_of_Measurement_Alt,r-UCUM_Unit_String-Unit_of_Measurement_Default,f-UCUM_Unit_String_Default,r-UCUM_Unit_String-Unit_of_Measurement_Alt,f-UCUM_Unit_String_Alt,lu-Modus_Soil_Test_v1-r-Modus_Soil_Test_v2,notes,internal_status,r-Lab,lu-lab_name-r-Lab,lu-modus_id-r-Modus_Soil_Test_v1,lu-modus_id-r-Modus_Soil_Test_v2,lu-unit_of_measurement_name-r-Unit_of_Measurement_Alt,lu-Modus_Soil_Test_v2-r-Modus_Soil_Test_v1,example_test_result
Nematode Analysis (with identification),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Nematode Analysis (without identification),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
NH4,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
NO3,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
OM,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
pH,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
S,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
SMP Buffer pH – Lime Requirement,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
SO4,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Sodiuim Adsorption Ratio of Saturation Extract (SAR),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Soil Saturtion Paste,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Soil Texture Analysis,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Soluble Salts,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
SS,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Total Cu,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Total Nitrogen,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Zn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
%Clay,Soil,,S-CLAY-SED.10,L_MODV2_SOIL_CLAY_003,Clay,Clay,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CLAY-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CLAY-SED.10,L_MODV2_SOIL_CLAY_003,,L_MODV2_SOIL_CLAY_003,
%Sand,Soil,,S-SAND-SED.10,L_MODV2_SOIL_SAND_003,Sand,Sand,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SAND-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-SAND-SED.10,L_MODV2_SOIL_SAND_003,,L_MODV2_SOIL_SAND_003,
%Silt,Soil,,S-SILT-SED.10,L_MODV2_SOIL_SILT_003,Silt,Silt,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SILT-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-SILT-SED.10,L_MODV2_SOIL_SILT_003,,L_MODV2_SOIL_SILT_003,
Available Phosphorus,Soil,HCO3_P,S-P-BIC.01.03,L_MODV2_SOIL_P_045,Phosphorus,Phosphorus,Sodium Bicarbonate,Sodium Bicarbonate,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-P-BIC.01.03,Several possible methods offered in https://extension.missouri.edu/media/wysiwyg/Extensiondata/Pub/pdf/specialb/sb1001.pdf,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-P-BIC.01.03,L_MODV2_SOIL_P_045,,L_MODV2_SOIL_P_045,
Base Saturation - Calcium,Soil,CA_PCT,S-BS-CA.19,,,Base Saturation - Ca,,EPA 3050 Digestion Acid Recoverable,,Calculated,,%,,%,%,%,,%,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-CA.19,,,L_MODV2_SOIL_CABS_001,
Base Saturation - Magnesium,Soil,MG_PCT,S-BS-MG.19,L_MODV2_SOIL_MGBS_001,Base Saturation - Mg,Base Saturation - Mg,Calculation,Calculation,ICP-OES / AAS,ICP-OES / AAS,%,%,,%,%,%,,%,S-BS-MG.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-MG.19,L_MODV2_SOIL_MGBS_001,,L_MODV2_SOIL_MGBS_001,
Base Saturation - Potassium,Soil,K_PCT,S-BS-K.19,L_MODV2_SOIL_KBS_001,Base Saturation - K,Base Saturation - K,Calculation,Calculation,ICP-OES / AAS,ICP-OES / AAS,%,%,,%,%,%,,%,S-BS-K.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-K.19,L_MODV2_SOIL_KBS_001,,L_MODV2_SOIL_KBS_001,
Base Saturation - Sodium,Soil,NA_PCT,S-BS-H.19,L_MODV2_SOIL_HBS_001,Base Saturation - H,Base Saturation - H,Calculation,Calculation,ICP-OES / AAS,ICP-OES / AAS,%,%,,%,%,%,,%,S-BS-H.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-H.19,L_MODV2_SOIL_HBS_001,,L_MODV2_SOIL_HBS_001,
Boron,Soil,B,S-B-M3.04,L_MODV2_SOIL_B_017,Boron,Boron,,Mehlich 3 ,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-B-M3.04,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-B-M3.04,L_MODV2_SOIL_B_017,,L_MODV2_SOIL_B_017,
Buffer pH,Soil,BUFFER_PH,S-BPH-SIK1.02,L_MODV2_SOIL_BPH_009,Buffer pH,Buffer pH,SMP,SMP,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,none,,,,,S-BPH-SMPB.02,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BPH-SIK1.02,L_MODV2_SOIL_BPH_009,,L_MODV2_SOIL_BPH_007,
Calcium,Soil,CA,S-CA-NH4AC.05,,,Calcium,,Ammonium Acetate,,"""ICP, AAS""",,mg/kg,,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",mg/kg,mg/kg,,"mg/kg, [ppm], meq/(100.g), cmol/kg, [lb_av]/[acr_us], kg/har",,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CA-NH4AC.05,,,L_MODV2_SOIL_CA_003,
Cation Exchange Capacity,Soil,,S-CEC.19,L_MODV2_SOIL_CEC_009,Cation Exchange Capacity,Cation Exchange Capacity,Potassium,Potassium,ICP-OES / AAS,ICP-OES / AAS,cmol/kg,cmol/kg,,meq/100g,cmol/kg,cmol/kg,,"cmol/kg, meq/(100.g)",S-CEC-K.05,unsure if this is correct,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CEC.19,L_MODV2_SOIL_CEC_009,,L_MODV2_SOIL_CEC_008,
Chloride,Soil,CL,S-CL.01.04,L_MODV2_SOIL_CL_016,Chloride,Chloride,Slurry,Slurry,Titration,Titration,meq/L,meq/L,,"mg/kg, ppm, lb/ac, kg/ha",mg/kg,mg/kg,,"mg/kg, [ppm], [lb_av]/[acr_us], kg/har",S-CL.01.04,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CL.01.04,L_MODV2_SOIL_CL_016,,L_MODV2_SOIL_CL_016,
Copper,Soil,CU,S-CU-HCL.05,L_MODV2_SOIL_CU_010,Copper,Copper,Hydrochloric Acid,Hydrochloric Acid,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-CU-HCL.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CU-HCL.05,L_MODV2_SOIL_CU_010,,L_MODV2_SOIL_CU_010,
Exchangeable Potassium,Soil,,S-EKP.19,L_MODV2_SOIL_XKP_001,Exchangeable Potassium Percentage,Exchangeable Potassium Percentage,,1.0 M KCl,Calculation,Calculation,%,%,,%,%,%,,%,S-EKP.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-EKP.19,L_MODV2_SOIL_XKP_001,,L_MODV2_SOIL_XKP_001,
Iron,Soil,FE,S-FE-HCL.05,L_MODV2_SOIL_FE_011,Iron,Iron,Hydrochloric Acid,Hydrochloric Acid,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-FE-HCL.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-FE-HCL.05,L_MODV2_SOIL_FE_011,,L_MODV2_SOIL_FE_011,
Magnesium,Soil,MG,S-MG-NH4AC.05,L_MODV2_SOIL_MG_030,Magnesium,Magnesium,Saturated Paste,Saturated Paste,ICP-OES / AAS,ICP-OES / AAS,meq/L,meq/L,,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",mg/kg,mg/kg,,"mg/kg, [ppm], meq/(100.g), cmol/kg, [lb_av]/[acr_us], kg/har",S-MG-SP.05,Several possible methods offered in https://extension.missouri.edu/media/wysiwyg/Extensiondata/Pub/pdf/specialb/sb1001.pdf,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-MG-NH4AC.05,L_MODV2_SOIL_MG_030,,L_MODV2_SOIL_MG_002,
Manganese,Soil,MN,S-MN-HCL.05,L_MODV2_SOIL_MN_009,Manganese,Manganese,Hydrochloric Acid,Hydrochloric Acid,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-MN-HCL.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-MN-HCL.05,L_MODV2_SOIL_MN_009,,L_MODV2_SOIL_MN_009,
Net Neutralization Potential,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Neutralization Potential,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Organic Matter,Soil,OM,S-SOM-LOI.15,L_MODV2_SOIL_OM_003,Organic Matter,Organic Matter,Combustion,Combustion,Combustion Analyzer,Combustion Analyzer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-OM-DUMAS.16,unsure if this is correct,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-SOM-LOI.15,L_MODV2_SOIL_OM_003,,L_MODV2_SOIL_OM_004,
Particle Size Analysis,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Percent Base Saturation of Cation Elements,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Phosphorus - Sodium Bicarbonate,Soil,P2,S-P-B2-1:10.01.03,L_MODV2_SOIL_P_006,Phosphorus,Phosphorus,Bray 2,Bray 2,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-P-B2-1:10.01.03,Several possible methods offered in https://extension.missouri.edu/media/wysiwyg/Extensiondata/Pub/pdf/specialb/sb1001.pdf,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-P-B2-1:10.01.03,L_MODV2_SOIL_P_006,,L_MODV2_SOIL_P_006,
Phosphorus - Strong Bray,Soil,P1,S-P-B1-1:10.01.03,L_MODV2_SOIL_P_004,Phosphorus,Phosphorus,Bray 1,Bray 1,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-P-B1-1:10.01.03,Four options with different ratios in MODUS,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-P-B1-1:10.01.03,L_MODV2_SOIL_P_004,,L_MODV2_SOIL_P_004,
Potassium,Soil,K,S-K-NH4AC.05,,,Potassium,,Ammonium Acetate,,"""ICP, AAS""",,mg/kg,,"mg/kg, ppm, meq/100 g, cmol/kg, lb/ac, kg/ha",mg/kg,mg/kg,,"mg/kg, [ppm], meq/(100.g), cmol/kg, [lb_av]/[acr_us], kg/har",,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-K-NH4AC.05,,,,
Potential Acidity,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Pyritic Sulfur,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Resistivity,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Sand Classification,Soil,,,,,,,,,,,,,,,,,,,USDA Size Limits by Wet Sieving,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Saturated Paste Extract,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Sodium,Soil,NA,S-NA-NH4AC.05,L_MODV2_SOIL_NA_001,Sodium,Sodium,Ammonium Acetate,Ammonium Acetate,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-NA-NH4AC.05,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-NA-NH4AC.05,L_MODV2_SOIL_NA_001,,L_MODV2_SOIL_NA_001,
Soil Ammonium,Soil,NH4,S-NH4-KCL.01.05,L_MODV2_SOIL_NH4N_005,Ammonium-Nitrogen,Ammonium-Nitrogen,Potassium Chloride,Potassium Chloride,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-NH4-KCL.01.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-NH4-KCL.01.05,L_MODV2_SOIL_NH4N_005,,L_MODV2_SOIL_NH4N_005,
Soil Nitrate (PSNT),Soil,NO4_N,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Soil pH,Soil,,S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,pH,pH,Slurry,Slurry,H+ ISE,H+ ISE,standard pH unit,standard pH unit,,"standard units, s.u., none",,,,,S-PH-1:1.02.07,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-PH-1:1.02.07,L_MODV2_SOIL_PH_005,,L_MODV2_SOIL_PH_005,
Soluble Salts,Soil,,,,,,,,,,,,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Sulfate,Soil,SO4_S,S-S-NH4AC.05,L_MODV2_SOIL_S_002,Sulfur,Sulfur,Ammonium Acetate,Ammonium Acetate,ICP-OES,ICP-OES,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-S-NH4AC.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-S-NH4AC.05,L_MODV2_SOIL_S_002,,L_MODV2_SOIL_S_002,
Sulfur,Soil,S,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Textural Classification,Soil,,,,,,,,,,,,,,,,,,,Hydrometer Method,"Not in MODUS,Need more info from lab","""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",,,,,
Zinc,Soil,ZN,S-ZN-HCL.05,L_MODV2_SOIL_ZN_009,Zinc,Zinc,Hydrochloric Acid,Hydrochloric Acid,ICP-OES / AAS,ICP-OES / AAS,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-ZN-HCL.05,,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-ZN-HCL.05,L_MODV2_SOIL_ZN_009,,L_MODV2_SOIL_ZN_009,
Boron,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Buffer pH,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Calcium,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Cation Exchange Capacity,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Copper,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Iron,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Magnesium,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Manganese,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
Organic Matter,Soil,,,,,,,,,,,,,,,,,,,"Wisconsin-approved methods and recommendations:  NCR - Recommended Chemical Soil Test Procedures for the North Central Region, NCR No. 221",,A&L Great Lakes Laboratory - Wisconsin,A&L Great Lakes Laboratory - Wisconsin,,,,,
